                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.96553,                 1.9258,                0.82761,                0.99431,                0.70385,                0.88299,                0.87835,                0.73277,                0.93896,                0.70851,                 0.8508,                0.65312,                0.82424,                 1.0061,                0.68871,                0.91666,             0.00010999,             0.00010999,             0.00010999
                     25,                0.97004,                 1.9711,                0.83501,                 1.0012,                0.77447,                0.83807,                0.86154,                0.71557,                0.76218,                 0.8261,                0.83844,                0.65583,                0.79436,                 1.0064,                0.68495,                 0.9073,             0.00010976,             0.00010976,             0.00010976
                     26,                 0.9565,                 1.9325,                0.82526,                 0.9936,                0.71528,                0.84925,                0.86105,                0.71959,                 0.7084,                0.83884,                 0.8395,                0.65647,                0.82344,                 1.0126,                0.66432,                0.91375,             0.00010954,             0.00010954,             0.00010954
                     27,                0.97899,                 1.9668,                0.90725,                 1.0069,                0.84381,                0.84525,                0.87115,                0.72944,                0.81976,                0.82661,                0.83599,                0.63861,                0.81531,                 1.0333,                0.65619,                0.91313,             0.00010931,             0.00010931,             0.00010931
                     28,                0.96563,                 1.9854,                0.86731,                 1.0152,                0.82091,                0.85572,                0.87138,                0.74278,                0.78815,                0.83143,                0.84453,                0.65213,                0.80222,                  1.044,                0.65136,                0.90652,             0.00010908,             0.00010908,             0.00010908
                     29,                0.94811,                  1.946,                0.89654,                 1.0006,                0.85888,                0.83178,                0.86543,                0.74986,                0.82375,                0.81089,                0.83521,                0.65475,                0.79254,                 1.0331,                0.65228,                0.90706,             0.00010885,             0.00010885,             0.00010885
                     30,                0.99149,                  1.973,                 0.8506,                 1.0092,                0.84439,                0.83677,                0.87161,                0.73902,                0.81948,                0.81891,                  0.844,                0.65515,                0.81047,                 1.0188,                0.64301,                0.90495,             0.00010862,             0.00010862,             0.00010862
                     31,                0.96077,                   1.94,                0.82937,                0.99641,                0.83585,                0.80701,                0.86095,                0.73183,                0.83419,                0.80578,                0.84544,                0.66147,                0.81587,                 1.0217,                0.65738,                0.92055,              0.0001084,              0.0001084,              0.0001084
                     32,                0.96363,                 2.0053,                0.82926,                0.99546,                0.87951,                0.82338,                0.86658,                0.73782,                0.87128,                0.81545,                0.84629,                0.63547,                0.80587,                 1.0419,                0.65944,                0.91426,             0.00010817,             0.00010817,             0.00010817
                     33,                0.96766,                 1.9653,                0.88503,                 1.0061,                0.86925,                 0.8264,                0.86871,                 0.7154,                0.84408,                0.81229,                 0.8419,                0.65127,                0.80448,                 1.0224,                0.66385,                 0.9182,             0.00010794,             0.00010794,             0.00010794
                     34,                 1.0056,                 1.9539,                0.90283,                  1.011,                0.91467,                0.79409,                0.87687,                0.72913,                0.89774,                0.78374,                 0.8495,                0.64926,                0.83205,                 1.0238,                0.67366,                0.92121,             0.00010771,             0.00010771,             0.00010771
                     35,                0.95734,                 1.9246,                0.83388,                0.99576,                0.92306,                0.77703,                0.86619,                0.74281,                0.91238,                0.76623,                0.83387,                0.64814,                0.79498,                 1.0233,                0.65838,                0.90978,             0.00010749,             0.00010749,             0.00010749
                     36,                 1.0085,                 1.9855,                0.86112,                 1.0178,                 0.8257,                0.81632,                0.87082,                 0.7393,                0.81112,                0.80301,                0.84295,                0.65464,                0.80691,                 1.0186,                0.65165,                0.91293,             0.00010726,             0.00010726,             0.00010726
                     37,                0.96336,                 1.9499,                0.83016,                 1.0007,                0.88561,                0.82879,                 0.8762,                0.75115,                0.88738,                0.80674,                 0.8568,                0.67404,                 0.8112,                  1.035,                0.65261,                0.91756,             0.00010703,             0.00010703,             0.00010703
                     38,                0.96248,                 1.9475,                0.82184,                0.99767,                0.92182,                0.81492,                 0.8743,                0.75517,                0.93253,                0.80609,                0.85524,                0.66863,                0.79426,                 1.0077,                0.63654,                0.91429,              0.0001068,              0.0001068,              0.0001068
                     39,                0.97596,                 1.9696,                0.82718,                 1.0002,                0.90148,                0.79606,                0.87289,                0.74764,                0.89971,                  0.783,                 0.8476,                  0.659,                0.80335,                 1.0095,                 0.6282,                0.91243,             0.00010658,             0.00010658,             0.00010658
                     40,                0.93815,                 1.8606,                0.80995,                0.99788,                0.88525,                0.80606,                0.87619,                0.74772,                0.87439,                0.79605,                0.84688,                 0.6645,                0.81817,                  1.009,                0.64701,                 0.9217,             0.00010635,             0.00010635,             0.00010635
                     41,                0.93983,                 1.8894,                 0.8088,                0.98257,                0.89644,                 0.7873,                0.88124,                0.74138,                 0.8773,                0.77695,                0.84567,                0.66457,                0.81881,                 1.0509,                0.66784,                0.92323,             0.00010612,             0.00010612,             0.00010612
                     42,                0.96299,                 1.9616,                 0.8378,                0.98923,                0.91049,                0.77137,                0.86291,                0.74291,                0.90733,                0.76895,                0.84339,                0.67138,                0.78765,                 1.0211,                0.64145,                0.90773,             0.00010589,             0.00010589,             0.00010589
                     43,                0.97066,                 1.9358,                0.87056,                 1.0114,                0.93208,                0.78423,                0.86132,                0.73994,                0.91917,                0.76104,                0.81761,                0.65891,                0.79691,                 1.0442,                0.66023,                0.90685,             0.00010566,             0.00010566,             0.00010566
                     44,                0.95058,                 1.9087,                 0.8237,                0.99361,                0.77176,                0.84933,                0.86123,                0.74269,                0.85503,                0.77731,                0.83833,                0.65329,                0.80952,                 1.0473,                0.65942,                0.91898,             0.00010544,             0.00010544,             0.00010544
                     45,                0.95165,                 1.9649,                0.81493,                0.98731,                0.87535,                0.83254,                 0.8722,                0.74974,                0.84713,                0.81346,                0.83716,                0.65281,                0.79108,                 1.0279,                0.63213,                0.90127,             0.00010521,             0.00010521,             0.00010521
                     46,                 0.9544,                 1.9359,                0.81784,                 1.0007,                0.85336,                0.83745,                0.87863,                0.74834,                0.82955,                 0.8215,                0.84488,                0.64916,                0.79293,                 1.0159,                0.62072,                0.90481,             0.00010498,             0.00010498,             0.00010498
                     47,                0.95245,                 1.9195,                0.82084,                0.99031,                0.85712,                0.84471,                0.87789,                0.75709,                 0.8306,                0.82573,                 0.8423,                0.64719,                0.79581,                 1.0072,                0.63494,                0.90915,             0.00010475,             0.00010475,             0.00010475
                     48,                0.93746,                 1.9122,                0.80112,                 0.9853,                0.80682,                0.84718,                0.87246,                0.75087,                 0.7766,                0.82382,                0.83995,                  0.653,                 0.7982,                 1.0359,                0.65374,                 0.9139,             0.00010453,             0.00010453,             0.00010453
                     49,                0.94251,                 1.9251,                 0.8387,                 0.9878,                0.82517,                0.81198,                0.85893,                0.74366,                0.82146,                0.78803,                0.83085,                0.64332,                0.83047,                 1.0238,                0.64599,                0.91919,              0.0001043,              0.0001043,              0.0001043
                     50,                0.94675,                 1.9238,                 0.8178,                0.99501,                0.79976,                 0.8364,                0.85844,                0.74533,                0.78692,                0.82212,                0.82703,                 0.6377,                0.81449,                 1.0311,                0.66207,                0.90898,             0.00010407,             0.00010407,             0.00010407
                     51,                0.97054,                 1.9546,                0.82311,                0.99153,                0.86332,                0.82628,                0.87388,                0.73184,                 0.8413,                0.80662,                0.84189,                0.65723,                0.80722,                 1.0149,                0.69564,                0.91386,             0.00010384,             0.00010384,             0.00010384
                     52,                0.97986,                 2.0445,                0.84778,                 1.0077,                0.86603,                0.84776,                0.87048,                0.74876,                  0.872,                0.82189,                0.84136,                0.65904,                0.78938,                 1.0058,                 0.6317,                0.90337,             0.00010362,             0.00010362,             0.00010362
                     53,                0.95348,                  1.969,                0.80143,                0.99449,                0.88899,                0.82332,                0.87333,                0.75153,                0.85018,                0.80072,                0.83643,                0.65796,                0.80907,                 1.0106,                0.63739,                0.90953,             0.00010339,             0.00010339,             0.00010339
                     54,                0.95439,                 1.9221,                0.82709,                0.99299,                0.89651,                  0.822,                0.86711,                0.74447,                0.87276,                0.80303,                0.83328,                0.64112,                 0.7969,                 1.0264,                0.63874,                 0.9061,             0.00010316,             0.00010316,             0.00010316
                     55,                0.98876,                  1.955,                0.85807,                 1.0016,                0.86742,                0.82072,                0.86856,                0.77691,                 0.9267,                0.77758,                0.84103,                0.65176,                0.77072,                 1.0214,                0.62647,                0.89753,             0.00010293,             0.00010293,             0.00010293
                     56,                0.96131,                 1.9375,                0.81498,                0.99555,                0.89029,                0.82556,                0.85973,                0.74651,                0.90593,                0.77966,                 0.8336,                0.66031,                0.79475,                 1.0324,                0.64594,                 0.9016,              0.0001027,              0.0001027,              0.0001027
                     57,                0.96544,                 1.9348,                0.82937,                0.99899,                0.88181,                0.81883,                0.85923,                0.75362,                0.85181,                 0.8018,                 0.8273,                0.64445,                0.79536,                 1.0294,                0.64847,                 0.9008,             0.00010248,             0.00010248,             0.00010248
